ID,Title,Dealer ID,City,State,Latitude,Longitude,Email ID
75,H Point,SÃO PAULO,1015753,SP,-23.5712666,-46.6999005,"fabio@hpoint.com.br,"
76,H Point (PAVS) Clodomiro Amazonas,SÃO PAULO,1664717,SP,-23.5861692,-46.679479,fabio@hpoint.com.br
77,H POINT MORUMBI,SÃO PAULO,1628048,SP,-23.6129513,-46.7301666,fabio@hpoint.com.br
78,H Ville - Osasco,OSASCO,1676059,SP,,,marcos.datti@hvilleosasco.com.br
79,HAIKAR,GOIÂNIA,1016512,GO,-16.70818,-49.264098,rafael@haikar.com.br
80,HAIKAR (SRE) AP. GOIAN.,APARECIDA DE GOIÂNIA,1677869,GO,,,rafael@haikar.com.br
81,Haikar Rio Verde,RIO VERDE,1651879,GO,,,lucio.tartuce@haikar.com.br
82,Hayasa,NITERÓI,1019481,RJ,-22.9399909,-43.0471597,brunolamego@hayasa.com.br
83,HAYASA (SRE) TERESOPOLIS,TERESÓPOLIS,1648298,RJ,,,eduardo@hayasa.com.br
84,HAYASA PETROPOLIS,PETROPOLIS,1609113,RJ,-22.5303929,-43.1980519,eduardo@hayasa.com.br
85,HAYASA RIO DAS OSTRAS,RIO DAS OSTRAS,1628047,RJ,-22.527,-41.945,
86,Hipervel Veículos Ltda.,ITAPETININGA,1704601,SP,-23.6068,-48.0626,sac@hipervel.com.br
87,HIT ILHA,FLORIANÓPOLIS,1709446,SC,-27.5480355,-48.4995399,atendimento@hithonda.com.br
88,HVILLE,BARUERI,1018701,SP,-23.5088095,-46.85161,rangel@hville.com.br
89,Imperial Alphaville,SALVADOR,1693754,BA,,,rosangela.rodrigues@imperialhonda.com.br
90,Imperial Feira de Santana,FEIRA DE SANTANA,1665817,BA,-12.2599268,-38.9619097,heine@imperialhonda.com.br
91,Imperial Mares,SALVADOR,1597511,BA,-12.9431524,-38.501087,caroline.dantas@imperialhonda.com.br
92,Imperial Petrolina,PETROLINA,1639221,PE,-9.38805,-40.4889,
93,Imperial Pituba,SALVADOR,1019260,BA,-12.9872085,-38.4502617,rosangela.rodrigues@imperialhonda.com.br
94,Imperial Vitória,SALVADOR,1644276,BA,,,thomas_factori@honda.com.br
95,IPPON,VITÓRIA DA CONQUISTA,1602107,BA,-14.9713382,-40.9164305,gerenciageral@hondaippon.com.br
96,IPPON (FL) ITABUNA,ITABUNA,1636078,BA,-14.8032784,-39.2912452,andre.vendas@hondaippon.com.br
97,Ippon (SRW) Vitória da Conquista,VITÓRIA DA CONQUISTA,1684817,BA,,,gerenciageral@hondaippon.com.br
98,ISSA ANÁLIA FRANCO,SÃO PAULO,1014650,SP,-23.5582931,-46.5684314,siad@issamotors.com.br
99,ISSA MOTORS,SÃO PAULO,1010034,SP,-23.5509181,-46.5891373,siad@issamotors.com.br
100,Ivel,PORTO VELHO,1595430,RO,-8.7673174,-63.890374,gerenciavendas@hondaivel.com.br
101,IVEL (SRE) CACOAL,CACOAL,1671501,RO,,,atila@hondaivel.com.br
102,IVEL - ARIQUEMES,ARIQUEMES,1642327,RO,,,vendas03ariquemes@hondaivel.com.br
103,IVEL ACRE,RIO BRANCO,1612659,AC,-9.9701577,-67.8169677,gerenciageral@hondaivelacre.com.br
104,IVEL MOTORS,JI-PARANÁ,1630516,RO,-10.8686349,-61.9606881,luiz@ivelmotors.com.br
105,Jaboatão (FL) Piedade,JABOATÃO DOS GUARARAPES,1635483,PE,-8.2053146,-34.917727,thomas_factori@honda.com.br
106,JET VEÍCULOS,TERESINA,1018566,PI,-5.0809653,-42.7623974,guilherme@jetveiculos@honda.com.br
107,Kaizen RS,PORTO ALEGRE,1017810,RS,-29.9971643,-51.1900215,alexandreaf@kzsrs.com.br
108,Kaizen RS (PAVS) ZSul,PORTO ALEGRE,1672120,RS,,,alexandreaf@kzsrs.com.br
109,Kindai Motors,CAÇADOR,1680253,SC,-26.7846174,-50.9855747,
110,Kindai Motors,JOAÇABA,1680256,SC,-27.171086,-51.513176,supervisor@kindaimotors.com.br
111,Kindai Motors (PAVS) Concordia,CONCÓRDIA,1680266,SC,,,supervisor@kindaimotors.com.br
112,KODYVE,Mogi Mirim,1599188,SP,-22.4489933,-46.9805648,
113,KOI,RIBEIRÃO PRETO,1633702,SP,-21.1912441,-47.7960273,renatosaraiva@koihonda.com.br
114,LAGO SAN (FL) BOTUCATU,BOTUCATU,1645069,SP,-22.8702656,-48.4703487,gcomercial.bauru@lagosan.com.br
115,LAGO SAN (FL) JAU,JAU,1645068,SP,-22.2928488491,-48.5771012306,gcomercial.bauru@lagosan.com.br
116,LAGO SAN (FL) MARILIA,MARÍLIA,1666102,SP,-22.2221032,-49.939942,gcomercial.bauru@lagosan.com.br
117,LAGO SAN (FL) SERTAOZINHO,SERTÃOZINHO,1641557,SP,-21.143811,-47.982638,nrufino@lagosan.com.br
118,Lago-San Bauru,BAURU,1645070,SP,-22.7636792,-43.414132,gcomercial.bauru@lagosan.com.br
119,LAGO-SAN RIBEIRÃO,RIBEIRÃO PRETO,1016385,SP,-21.215854,-47.823726,nrufino@lagosan.com.br
120,LAGO-SAN-FRANCA,FRANCA,1026380,SP,-20.5229881,-47.4190341,nrufino@lagosan.com.br
121,LIDERANCA VEICULOS,DIVINÓPOLIS,1601441,MG,-20.17941,-44.920304,
122,Luz Autos - Novo Horizonte,BARREIRAS,1688777,BA,,,thomas_factori@honda.com.br
123,MARAMAR,SANTOS,1018485,SP,-23.9429893,-46.325105,rb@maramarveiculos.com.br
124,MARAMAR (FL) PRAIA GRANDE,PRAIA GRANDE,1636885,SP,-24.0118891,-46.4419871,fluvis@maramarveiculos.com.br
125,MARAMAR (SWR) SAO VICENTE,SÃO VICENTE,1674691,SP,,,rb@maramarveiculos.com.br
126,MIGOTO,VARGINHA,1636081,MG,-21.5910147,-45.4373524,
127,MIGOTO,JUIZ DE FORA,1664452,MG,-21.7438363,-43.3561264,
128,MIGOTO (PAVS) MURIAE,MURIAÉ,1664497,MG,-21.1305841,-42.3729583,
129,MIGOTO (PAVS) UBA,UBÁ,1671503,MG,-21.1220463,-42.9602336,
130,MINAMI,SANTA MARIA,1014811,RS,-29.6958466,-53.7384517,
131,Minami (FL) Sta. Cruz do Sul,SANTA CRUZ DO SUL,1635250,RS,-29.7195307,-52.4446743,
132,Minami (PAVS) Ijuí,IJUÍ,1671504,RS,,,leonel@minamimotors.com.br
133,Mix,SÃO CAETANO DO SUL,1017845,SP,-23.6106102,-46.579918,avelino.nobre@gruposinal.com
134,Motobel,ANANINDEUA,1016342,PA,-1.3658244,-48.3662179,wilson@motobel.com.br
135,Motoeste,NATAL,1019147,RN,-5.8544199,-35.2116072,renata@motoeste.com.br
136,MOTOESTE MOSSORÓ,MOSSORÓ,1623993,RN,-5.2208406,-37.3264816,brena@motoeste.com.br
137,MOTOESTE PRUDENTE,NATAL,1705538,RN,,,prudente@motoeste.com.br
138,Narita,RIO DE JANEIRO,1038346,RJ,-23.0022896,-43.3272645,leonardo.resck@riotokio.com.br
139,Narita - Tijuca,RIO DE JANEIRO,1694590,RJ,-22.9164816,-43.2223782,euler.goulart@hondanarita.com.br
140,NETTAI,BOA VISTA,1638703,RR,,,alvaro@nettaiveiculos.com.br
141,NIPONSUL,CURITIBA,1018043,PR,-25.4637322,-49.2582004,felipe.andreazza@niponsul.com.br
142,NIPONSUL,PONTA GROSSA,1620368,PR,-25.0825245,-50.1813529,felipe.andreazza@niponsul.com.br
143,NIPONSUL (FL) N.SENHORA DA LUZ,CURITIBA,1632253,PR,-25.4194076,-49.2401647,felipe.andreazza@niponsul.com.br
144,Niponsul Mercês,CURITIBA,1675242,PR,,,felipe.andreazza@niponsul.com.br
145,NIPPON,BELÉM,1019198,PA,-1.4510685,-48.4865084,mauricio@nipponveiculos.com.br
146,NOVA LUZ - WASH.SOARES,FORTALEZA,1592419,CE,-3.7850463,-38.480816,marysa@redecarmais.com.br
147,NOVALUZ - ALDEOTA,FORTALEZA,1018205,CE,-3.727083,-38.5041455,ribeiro@redecarmais.com.br
148,Novaluz Santos Dumont,FORTALEZA,1698907,CE,,,honda.fiscal@redecarmais.com.br
149,Oriental,RIO DE JANEIRO,1600526,RJ,-22.9039191,-43.5540785,andre.eiras@hondaoriental.com.br
150,ORIENTAL (PAVS) RESENDE,RESENDE,1671509,RJ,,,santana@hondaoriental.com.br
151,ORIENTAL BARRA MANSA,BARRA MANSA,1632548,RJ,-22.5546829,-44.1208423,santana@hondaoriental.com.br
152,PLANETA H,CACHOEIRO DE ITAPEMIRIM,1014846,ES,-20.9247611,-41.0800903,
153,PLANETA H (SRE) GUARAPARI,GUARAPARI,1671510,ES,,,anderson@planetah.com.br
154,PLANETA H - CAMPOS,CAMPOS DOS GOYTACAZES,1600989,RJ,-21.7537,-41.3437,
155,PLAZA MOTORS,BRASÍLIA,1625953,DF,-15.7447332,-47.8861444,flavio.torres@plazamotors.com.br
156,PRIXX,CURITIBA,1604632,PR,-25.4418914,-49.3056424,claudia.vendas@hondaprixx.com.br
157,Prixx (FL) S.J. dos Pinhais,SÃO JOSE DOS PINHAIS,1643578,PR,-25.5273478,-49.1962288,alexandre.allage@hondaprixx.com.br
158,Prixx Londrina,LONDRINA,1703798,PR,-23.2978927,-51.2005527,alexandre.allage@hondaprixx.com.br
159,Prixx Maringá,MARINGÁ,1697244,PR,-23.4177732,-51.9206422,alexandre.allage@hondaprixx.com.br
160,Recife (FL) Maurício de Nassau,CARUARU,1636079,PE,-8.2757441,-35.9730279,ofernandez@recifemotors.com.br
161,Recife Motors,RECIFE,1019821,PE,-8.0449716,-34.9075361,ofernandez@recifemotors.com.br
162,Rio Tókio,RIO DE JANEIRO,1018345,RJ,-22.9541705,-43.1805908,uchoa@riotokio.com.br
163,Rio Tókio Recreio,RIO DE JANEIRO,1028340,RJ,-23.0101782,-43.448762,telmo.mutti@riotokio.com.br
164,SAIKON (SRE) PATO BRANCO,PATO BRANCO,1643381,PR,,,"rafael.salido@hondasaikon.com.br,"
165,SAIKON VEICULOS LTDA,GUARAPUAVA,1632159,PR,-25.361597,-51.4696691,rafael.salido@hondasaikon.com.br
166,Saitama,IPATINGA,1601872,MG,-19.4820918,-42.5174975,marcos.basilio@saitama.com.br
167,Saitama Contagem,CONTAGEM,1644662,MG,-19.949227,-44.025543,fabison.calacio@granjapan.com.br
168,SAMBAQUI,PARANAGUÁ,1625147,PR,-25.5469384,-48.5432572,gerencia@sambaquiautomoveis.com.br
169,SAMPA MOTORS,SÃO PAULO,1617974,SP,-23.5024323,-46.706543,rita.marini@sampamotors.com.br
170,Santa Emília,ARARAQUARA,1019490,SP,-21.8038001,-48.1643175,jefferson.ribeiro@santaemiliahonda.com.b
171,Santa Emília (PAVS) São Carlos,SÃO CARLOS,1671511,SP,-22.0346644,-47.8773019,jefferson.ribeiro@santaemiliahonda.com.b
172,SCAPINI (FL) BENTO GONCALVES,BENTO GONÇALVES,1632839,RS,-29.1630296,-51.5044212,roberto.motorsbg@scapini.com.br
173,SCAPINI (SRE) LAJEADO,LAJEADO,1674656,RS,,,vendas.motorslj@scapini.com.br
174,SCAPINI MOTORS,CAXIAS DO SUL,1597952,RS,-29.1647891,-51.2103769,vendas.motors@scapini.com.br
175,SCAPINI PASSO FUNDO,PASSO FUNDO,1639625,RS,-28.3081676,-52.4778826,vendas.motorspf@scapini.com.br
176,Serigy,ARACAJU,1594313,SE,-10.9108,-37.0658826,cezar@samam.com.br
177,Serigy (SWR) Coroa do Meio,ARACAJU,1644917,SE,-10.94865,-37.051424,cezar@samam.com.br
178,SHIZEN,MANAUS,1019252,AM,-3.0982064,-60.0127847,camila.aleixo@gruposimoes.com.br
179,SHORI,VITÓRIA,1018965,ES,-20.2581793,-40.2915024,lamborghini@shori.com.br
180,SHORI (FL) VILA VELHA,VILA VELHA,1609268,ES,-20.3426396,-40.2928515,lamborghini@shori.com.br
181,SHORI LINHARES,LINHARES,1634754,ES,-19.3990691,-40.0720009,lamborghini@shori.com.br
182,SP JAPAN (SWR) JARDIM PAULISTA,SÃO PAULO,1671519,SP,-23.5726958,-46.665546,franklin@spjapan.com.br
183,SP JAPAN CAMBUCI,SÃO PAULO,1015680,SP,-23.567038,-46.617647,Rangel.ruffo@spjapan.com.br
184,SP Japan Morumbi,SÃO PAULO,1693752,SP,-23.639987,-46.736887,priscila.shibata@spjapan.com.br
185,SP Japan Ricardo Jafet,SÃO PAULO,1608663,SP,-23.5926841,-46.6208768,Carlota.miranda@spjapan.com.br
186,TAIYO,MACEIÓ,1017837,AL,-9.5740535,-35.7723763,cirlene@taiyo.com.br
187,TAIYO ARAPIRACA,ARAPIRACA,1635270,AL,0,0,cirlene@taiyo.com.br
188,Taiyo Cruz das Almas,MACEIÓ,1690867,AL,,,lais@taiyo.com.br
189,TAKAI,BLUMENAU,1592693,SC,-26.915755,-49.057649,ligia@takai.com.br
190,TAKAI BRUSQUE,BRUSQUE,1636082,SC,-27.0929895,-48.9120367,ligia@takai.com.br
191,Takai Itajaí,ITAJAÍ,1671520,SC,-26.9738162,-48.6390236,ligia@takai.com.br
192,TECAR (PAVS) ANAPOLIS,ANÁPOLIS,1681880,GO,,,juscileia.lira@tecar.com.br
193,Tecar Motors,GOIÂNIA,1633703,GO,-16.704047,-49.24201,juscileia.lira@tecar.com.br
194,Tecar Santa Genoveva,GOIÂNIA,1700101,GO,,,geisa.silva@tecar.com.br
195,Tokio Veículos,RIO DO SUL,1614558,SC,-27.2122503,-49.6353726,gerencia@tokioveiculos.com.br
196,Tokio Veículos,LAGES,1641448,SC,-27.802583,-50.316224,gerencia.lages@tokioveiculos.com.br
197,TRIVEL,UBERLÂNDIA,1017950,MG,-18.8957755,-48.2607755,cristiano@trivel.com.br
198,TRIVEL (FL) UBERABA,UBERABA,1634281,MG,-19.7538411,-47.9339915,
199,Urca,ITUMBIARA,1706617,GO,,,urcaveiculos@urcahonda.com.br
200,VIA PORTO CANOAS,CANOAS,1692123,RS,-29.9182169,-51.1777874,fabio@viaporto.com.br
201,VIA PORTO NOVO HAMBURGO,NOVO HAMBURGO,1690253,RS,-29.6894629,-51.1423745,washington@viaporto.com.br
202,Via Porto Osório,Osório,1692122,RS,-29.8961242,-50.3298237,jose.ferraz@viaporto.com.br
203,VIA PORTO PELOTAS,PELOTAS,1692121,RS,-31.7405152,-52.3441518,samir.hillal@viaporto.com.br
204,VM CENTER,PRESIDENTE PRUDENTE,1598691,SP,-22.1439819,-51.4003557,bugalho@vmcenter.com.br
205,VM CENTER,ASSIS,1636083,SP,-22.6605594,-50.387819,bugalho@vmcenter.com.br
206,ZEMA PATOS DE MINAS,PATOS DE MINAS,1708170,MG,-18.6140874,-46.5135438,zemaautomoveis@zemaautomoveis.com
207,Zensul,PORTO ALEGRE,1600070,RS,-30.0543276,-51.1821469,alexandreaf@kzsrs.com.br
